110010001;Alcalá de los Gazules ;Cádiz
110020001; Alcalá del Valle ;Cádiz
110040001;Algeciras ;Cádiz
110050001; Algodonales ;Cádiz
110060002;Arcos de la Frontera ;Cádiz
110070001;Barbate ;Cádiz
119010001;Benalup ;Cádiz
110100001;Bornos ;Cádiz
110120001;Cádiz ;Cádiz
110130002;Castellar de la Frontera ;Cádiz
110150004;Chiclana de la Frontera ;Cádiz
110160001;Chipiona ;Cádiz
110140003;Conil de la Frontera ;Cádiz
110270014;El Puerto de Santa María ;Cádiz
110170001;Espera ;Cádiz
110270007;Fuentebravia ;Cádiz
110190003;Grazalema ;Cádiz
110200011;Guadalcacín ;Cádiz
110330004;Guadiaro ;Cádiz
110200014;Jerez de la Frontera ;Cádiz
110210002;Jimena de la Frontera; Cádiz
110200003;La Barca de la Florida; Cádiz
110220001;La Línea de la Concepción; Cádiz
110080001;Los Barrios ;Cádiz
110230009;Medina-Sidonia ;Cádiz
110240004;Olvera ;Cádiz
110250001;Paterna de Rivera ;Cádiz
110260001;Prado del Rey ;Cádiz
110280003;Puerto Real; Cádiz
110290002;Puerto Serrano ;Cádiz
110280004;Río San Pedro ;Cádiz
110140004;Roche; Cádiz
110300004;Rota ;Cádiz
110310002;San Fernando ;Cádiz
119020001;San José del Valle ;Cádiz
110210003;San Martín del Tesorillo ;Cádiz
110330007;San Roque ;Cádiz
110320007;Sanlúcar de Barrameda ;Cádiz
110340001;Setenil ;Cádiz
110330008;Taraguilla; Cádiz
110350018; Tarifa ;Cádiz
110370001;Trebujena ;Cádiz
110380001;Ubrique ;Cádiz
110390013;Vejer de la Frontera ;Cádiz
110410003;Villamartín ;Cádiz
