110010001;Alcalá de los Gazules;Cádiz;51
110020001;Alcalá del Valle;Cádiz;118
110040001;Algeciras;Cádiz;73
110050001;Algodonales;Cádiz;82
110060002;Arcos de la Frontera;Cádiz;48
110070001;Barbate;Cádiz;48
119010001;Benalup;Cádiz;45
110100001;Bornos;Cádiz;53
110120001;Cádiz;Cádiz;23
110130002;Castellar de la Frontera;Cádiz;85
110150004;Chiclana de la Frontera;Cádiz;19
110160001;Chipiona;Cádiz;53
110140003;Conil de la Frontera;Cádiz;33
110270014;El Puerto de Santa María;Cádiz;30
110170001;Espera;Cádiz;59
110270007;Fuentebravia;Cádiz;34
110190003;Grazalema;Cádiz;100
110200011;Guadalcacín;Cádiz;35
110330004;Guadiaro;Cádiz;89
110200014;Jerez de la Frontera;Cádiz;36
110210002;Jimena de la Frontera; Cádiz;104
110200003;La Barca de la Florida; Cádiz;42
110220001;La Línea de la Concepción; Cádiz;84
110080001;Los Barrios;Cádiz;74
110230009;Medina-Sidonia;Cádiz;31
110240004;Olvera;Cádiz;94
110250001;Paterna de Rivera;Cádiz;41
110260001;Prado del Rey;Cádiz;71
110280003;Puerto Real; Cádiz;20
110290002;Puerto Serrano;Cádiz;72
110280004;Río San Pedro;Cádiz;19
110140004;Roche; Cádiz;30
110300004;Rota;Cádiz;44
110310002;San Fernando;Cádiz;0
119020001;San José del Valle;Cádiz;55
110210003;San Martín del Tesorillo;Cádiz;94
110330007;San Roque;Cádiz;78
110320007;Sanlúcar de Barrameda;Cádiz;44
110340001;Setenil;Cádiz;107
110330008;Taraguilla; Cádiz;74
110350018;Tarifa;Cádiz;73
110370001;Trebujena;Cádiz;47
110380001;Ubrique;Cádiz;80
110390013;Vejer de la Frontera;Cádiz;39
110410003;Villamartín;Cádiz;64
