410040002;Alcalá de Guadaíra; Sevilla;31
410050001;Alcalá del Río; Sevilla;27
410060001;Alcolea del Río; Sevilla;67
410110001;Arahal; Sevilla;47
410120001;Aznalcázar; Sevilla;27
410130001;Aznalcóllar; Sevilla;39
410140001;Badolatosa;Sevilla;100
410150001;Benacazón;Sevilla;23
410160001;Bollullos de la Mitación;Sevilla;18
410170001;Bormujos;Sevilla;10
410180001;Brenes;Sevilla;35
410190001;Burguillos;Sevilla;35
410210001;Camas;Sevilla;18
410230001;Cantillana; Sevilla;45
419010001;Cañada Rosal;Sevilla;73
410240002;Carmona; Sevilla;42
410260001;Casariche;Sevilla;94
410270001;Castilblanco de los Arroyos; Sevilla;53
410290001;Castilleja de la Cuesta; Sevilla;13
410320001;Cazalla de la Sierra;Sevilla;86
410330004;Constantina;Sevilla;90
410340002;Coria del Río; Sevilla;16
410380002;Dos Hermanas;Sevilla;26
410390004;Écija;Sevilla;75
410360002;El Coronil; Sevilla;49
419030001;El Cuervo de Sevilla;Sevilla;52
410950007;El Palmar de Troya; Sevilla;45
410730004;El Pedroso; Sevilla;70
410840001;El Rubio; Sevilla;86
410900003;El Saucejo;Sevilla;86
411020001;El Viso del Alcor;Sevilla;44
410400001;Espartinas;Sevilla;19
410410002;Estepa;Sevilla;86
410420001;Fuentes de Andalucía;Sevilla;60
410440001;Gelves; Sevilla;11
410450001;Gerena;Sevilla;36
410460001;Gilena;Sevilla;90
410470001;Gines;Sevilla;15
410480003;Guadalcanal;Sevilla;110
410490002;Guillena;Sevilla;24
410500001;Herrera;Sevilla;92
419020001;Isla Mayor;Sevilla;40
410070001;La Algaba;Sevilla;18
410220001;La Campana;Sevilla;61
410520001;La Lantejuela;Sevilla;72
410560003;La Luisiana;Sevilla;63
410770002;La Puebla de Cazalla;Sevilla;60
410780001;La Puebla de los Infantes;Sevilla;82
410790007;La Puebla del Río; Sevilla;18
410810006;La Rinconada;Sevilla;27
410820004;La Roda de Andalucía; Sevilla;95
410200002;Las Cabezas de San Juan;Sevilla;44
410530005;Lebrija;Sevilla;55
410550003;Lora del Río;Sevilla;58
410370001;Los Corrales;Sevilla;92
410630001;Los Molares;Sevilla;44
410690004;Los Palacios y Villafranca;Sevilla;33
410580003;Mairena del Alcor; Sevilla;42
410590001;Mairena del Aljarafe; Sevilla;0
410600005;Marchena;Sevilla;58
410610001;Marinaleda;Sevilla;91
410640003;Montellano;Sevilla;60
410650004;Morón de la Frontera;Sevilla;62
410670001;Olivares;Sevilla;30
410680002;Osuna;Sevilla;73
410700001;Palomares del Río; Sevilla;12
410710005;Paradas; Sevilla;53
410720001;Pedrera;Sevilla;88
410740001;Peñaflor;Sevilla;70
410750001;Pilas;Sevilla;34
410760001;Pruna; Sevilla;90
410850001;Salteras; Sevilla;24
410810007;San José de la Rinconada; Sevilla;27
410860001;San Juan de Aznalfarache; Sevilla;7
410870003;Sanlúcar la Mayor; Sevilla;25
410890001;Santiponce; Sevilla;16
410910002;Sevilla;Sevilla;21
410920002;Tocina;Sevilla;50
410930001;Tomares;Sevilla;10
410940001;Umbrete;Sevilla;17
410950009;Utrera;Sevilla;36
410960001;Valencina de la Concepción; Sevilla;20
410970001;Villamanrique de la Condesa;Sevilla;41
410980001;Villanueva del Ariscal;Sevilla;23
410990009;Villanueva del Río y Minas;Sevilla;58
411010001;Villaverde del Río;Sevilla;40
